Mixture no.,W/CMa,Cement(kg/m3),"Water 
(KG/M3)","Fly ash  
kg/m3","Fine aggregate
 (kg/m3) ","Coarse aggregate
 (kg/m3)","Superplasticizer 
(kg/m3)",Silica Fume,Age in days,Comp strength (MPa) 
S3-20-5,0.5,310,205,100,578,1132,0,5,28,52.9
S3-20-5,0.5,310,205,100,578,1132,0,5,56,60.7
S3-20-5,0.5,310,205,100,578,1132,0,5,90,63.7
S3-20-5,0.5,310,205,100,578,1132,0,5,180,68
S3-40-5,0.5,210,205,200,552,1132,0,5,3,11.4
S3-40-5,0.5,210,205,200,552,1132,0,5,7,16.8
S3-40-5,0.5,210,205,200,552,1132,0,5,28,38.7
S3-40-5,0.5,210,205,200,552,1132,0,5,56,45.9
S3-40-5,0.5,210,205,200,552,1132,0,5,90,48.7
S3-40-5,0.5,210,205,200,552,1132,0,5,180,58.4
NC,0.35,500,190,0,770,940,2.25,0,7,57.44
NC,0.35,500,190,0,770,940,2.25,0,28,60.31
NC,0.35,500,190,0,770,940,2.25,0,90,66.1
F20G2,0.35,400,190,0,770,940,1.6,0,7,45.3
F20G2,0.35,400,190,0,770,940,1.6,0,28,60.64
F20G2,0.35,400,190,0,770,940,1.6,0,90,68.8
F20G4,0.35,400,190,100,770,940,1.6,0,7,47.33
F20G4,0.35,400,190,100,770,940,1.6,0,28,61.5
F20G4,0.35,400,190,100,770,940,1.6,0,90,73.2
F20G6,0.35,400,190,100,770,940,1.6,0,7,41.71
F20G6,0.35,400,190,100,770,940,1.6,0,28,61.82
F20G6,0.35,400,190,100,770,940,1.6,0,90,71.61
S10G2,0.35,450,190,0,770,940,2.25,50,7,45.76
S10G2,0.35,450,190,0,770,940,2.25,50,28,47.52
S10G2,0.35,450,190,0,770,940,2.25,50,90,63.84
S10G4,0.35,450,190,0,770,940,2.25,50,7,45.31
S10G4,0.35,450,190,0,770,940,2.25,50,28,55.17
S10G4,0.35,450,190,0,770,940,2.25,50,90,72.98
S10G6,0.35,450,190,0,770,940,2.25,50,7,51.48
S10G6,0.35,450,190,0,770,940,2.25,50,28,55.6
S10G6,0.35,450,190,0,770,940,2.25,50,90,72.44
F20S10G2,0.35,350,190,100,770,940,1.575,50,7,39.21
F20S10G2,0.35,350,190,100,770,940,1.575,50,28,52.71
F20S10G2,0.35,350,190,100,770,940,1.575,50,90,72.6
F20S10G4,0.35,350,190,100,770,940,1.575,50,7,33.6
F20S10G4,0.35,350,190,100,770,940,1.575,50,28,52.26
F20S10G4,0.35,350,190,100,770,940,1.575,50,90,79.7
F20S10G6,0.35,350,190,100,770,940,1.575,50,7,41.26
F20S10G6,0.35,350,190,100,770,940,1.575,50,28,55.98
F20S10G6,0.35,350,190,100,770,940,1.575,50,90,82.4
A1,0.24,637,150,0,711,936,117.208,0,3,70
A1,0.24,637,150,0,711,936,117.208,0,7,79.5
A1,0.24,637,150,0,711,936,117.208,0,28,97.4
A1,0.24,637,150,0,711,936,117.208,0,90,110.2
A2,0.24,475,150,158,681,924,86.925,0,3,62.3
A2,0.24,475,150,158,681,924,86.925,0,7,74.6
A2,0.24,475,150,158,681,924,86.925,0,28,105.9
A2,0.24,475,150,158,681,924,86.925,0,90,124.5
A3,0.24,347,148,283,639,920,82.239,0,3,42.5
A3,0.24,347,148,283,639,920,82.239,0,7,56.3
A3,0.24,347,148,283,639,920,82.239,0,28,89.4
A3,0.24,347,148,283,639,920,82.239,0,90,107.2
A4,0.19,702,135,0,641,949,246.402,0,3,78
